Testfall	ToolID	Variable	Fehlercode	Max	Min	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R² coefficient determination	std dev	SimQuality-Score	SimQ-Einordnung
03-Waermeleitung	Aixlib	Variante 1	0	0.69	5.78	0.01	15.87	0.04	0.03	1.99	0.2	0.00848	99.32	2.25	-99	30.0	20.01	28.69	94.8475	Silver
03-Waermeleitung	Aixlib	Variante 2	0	0.66	0.0	0.0	184.93	0.04	0.01	1.93	0.19	0.00816	99.33	2.25	-99	30.0	20.0	29.12	53.181999999999995	Failed
03-Waermeleitung	Aixlib	Variante 3	0	1.3	6.7	0.23	6.09	0.1	0.96	4.0	0.31	0.01352	98.65	2.54	-99	27.71	20.0	24.12	96.365	Gold
03-Waermeleitung	Aixlib	Variante 4	0	0.35	13.12	0.07	14.11	0.01	0.33	8.19	0.07	0.00332	93.63	0.29	-99	20.93	20.0	20.45	92.075	Silver
03-Waermeleitung	ETU	Variante 1	0	1.8	33.0	0.3	41.11	0.27	1.06	5.16	0.52	0.01994	95.42	2.08	-99	30.0	20.07	28.99	84.1805	Bronze
03-Waermeleitung	ETU	Variante 2	0	1.06	9.69	0.02	296.43	0.1	0.06	3.09	0.31	0.01323	98.28	2.13	-99	30.0	20.68	29.14	23.877999999999993	Failed
03-Waermeleitung	ETU	Variante 3	0	7.48	39.41	1.67	35.0	3.19	6.97	23.02	1.79	0.07181	55.5	2.53	-99	28.62	20.06	25.55	73.1365	Failed
03-Waermeleitung	ETU	Variante 4	0	0.56	19.57	0.11	22.54	0.01	0.54	13.08	0.11	0.00529	83.76	0.3	-99	20.98	20.0	20.49	86.567	Bronze
03-Waermeleitung	IDAICE	Variante 1	0	0.88	18.89	0.16	20.02	0.06	0.56	2.51	0.25	0.00905	98.91	2.32	-99	30.0	20.0	28.84	92.175	Silver
03-Waermeleitung	IDAICE	Variante 2	0	0.36	0.0	-0.05	101.68	0.01	-0.16	1.06	0.11	0.00392	99.8	2.4	-99	30.0	20.0	29.07	74.325	Failed
03-Waermeleitung	IDAICE	Variante 3	0	2.34	13.07	0.49	10.97	0.31	2.05	7.21	0.56	0.02094	95.63	2.93	-99	28.41	20.0	24.38	92.97999999999999	Silver
03-Waermeleitung	IDAICE	Variante 4	0	0.02	1.66	0.0	0.83	0.0	0.0	0.48	0.0	0.00019	99.98	0.29	-99	20.88	19.99	20.38	99.5035	Gold
03-Waermeleitung	NANDRAD	Variante 1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.41	-99	30.0	20.0	28.68	100.0	Gold
03-Waermeleitung	NANDRAD	Variante 2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.36	-99	30.0	20.0	29.12	100.0	Gold
03-Waermeleitung	NANDRAD	Variante 3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	2.68	-99	27.76	20.0	23.89	100.0	Gold
03-Waermeleitung	NANDRAD	Variante 4	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.28	-99	20.87	20.0	20.38	100.0	Gold
03-Waermeleitung	NANDRAD2	Variante 1	0	0.03	0.59	0.01	0.65	0.0	0.02	0.08	0.01	0.0003	100.0	2.41	-99	30.0	20.0	28.69	99.7535	Gold
03-Waermeleitung	NANDRAD2	Variante 2	0	0.09	0.0	0.01	25.23	0.0	0.04	0.26	0.03	0.00096	99.99	2.35	-99	30.0	20.0	29.13	93.616	Silver
03-Waermeleitung	NANDRAD2	Variante 3	0	0.05	0.3	0.01	0.25	0.0	0.05	0.17	0.01	0.00049	100.0	2.69	-99	27.78	20.0	23.9	99.8525	Gold
03-Waermeleitung	NANDRAD2	Variante 4	0	0.0	0.17	0.0	0.15	0.0	0.0	0.09	0.0	4e-05	100.0	0.28	-99	20.87	20.0	20.38	99.92299999999999	Gold
03-Waermeleitung	TAS	Variante 1	0	0.05	1.0	-0.01	1.22	0.0	-0.04	0.15	0.02	0.00056	100.0	2.41	-99	29.99	20.0	28.67	99.5675	Gold
